rank	word	score	sources	googleRank	wordfreqRank	cocaRank
409	usc	0.717253	google,wordfreq	353	587	
410	yea	0.721176	google,wordfreq	554	233	
411	vic	0.721266	google,wordfreq	444	435	
412	cvs	0.724242	google,wordfreq	198	897	
413	cia	0.724513	google,wordfreq	522	304	
414	mat	0.724829	google,wordfreq	431	472	
415	beg	0.727895	wordfreq,coca		333	171
416	fda	0.727985	google,wordfreq	427	491	
417	lit	0.728707	google,wordfreq	543	281	
418	eng	0.729293	google,wordfreq	398	549	
419	nod	0.729518	wordfreq,coca		537	135
420	mlb	0.730601	google,wordfreq	411	530	
421	tub	0.732810	google,wordfreq	458	452	
422	gop	0.733577	wordfreq,coca		376	167
423	sox	0.733667	google,wordfreq	457	457	
424	css	0.735696	google,wordfreq	286	778	
425	fbi	0.735696	google,wordfreq	562	272	
426	yep	0.736553	wordfreq,coca		211	199
427	gif	0.737320	google,wordfreq	478	432	
428	col	0.738988	google,wordfreq	519	363	
429	lil	0.740702	google,wordfreq	451	494	
430	aye	0.741243	google,wordfreq	517	375	
431	bra	0.741243	google,wordfreq	481	441	
432	hrs	0.742190	google,wordfreq	358	670	
433	gdp	0.742596	google,wordfreq	541	336	
434	tri	0.743858	google,wordfreq	429	546	
435	ham	0.744399	google,wordfreq	561	306	
436	aaa	0.745752	google,wordfreq	423	564	
437	vhs	0.747195	google,wordfreq	205	969	
438	neo	0.748232	google,wordfreq	524	388	
439	ate	0.748864	google,wordfreq	612	229	
440	duo	0.751389	google,wordfreq	550	352	
441	rub	0.753057	wordfreq,coca		382	179
442	fur	0.754140	google,wordfreq	555	353	
443	nhs	0.755087	google,wordfreq	516	428	
444	rpm	0.755222	google,wordfreq	363	709	
445	abs	0.755538	google,wordfreq	500	459	
446	avg	0.755583	google,wordfreq	229	956	
447	kay	0.756935	google,wordfreq	535	400	
448	cos	0.757026	google,wordfreq	575	327	
449	por	0.757431	google,wordfreq	464	532	
450	fog	0.760543	google,wordfreq	551	384	
451	ooh	0.761310	wordfreq,coca		440	174
452	alt	0.761670	google,wordfreq	436	599	
453	tit	0.763699	google,wordfreq	379	711	
454	seo	0.763925	google,wordfreq	404	666	
455	aol	0.764015	google,wordfreq	252	945	
456	doe	0.764601	google,wordfreq	497	498	
457	dem	0.765052	google,wordfreq	559	386	
458	psp	0.765368	google,wordfreq	270	917	
459	mls	0.766585	google,wordfreq	483	531	
460	gut	0.767262	wordfreq,coca		385	188
461	amd	0.768344	google,wordfreq	354	774	
462	rim	0.769246	google,wordfreq	532	451	
463	eco	0.771185	google,wordfreq	507	504	
464	tvs	0.771636	google,wordfreq	365	766	
465	til	0.772448	google,wordfreq	629	285	
466	sol	0.773124	google,wordfreq	506	513	
467	hug	0.774026	wordfreq,coca		322	204
468	eva	0.774251	google,wordfreq	565	409	
469	plc	0.774973	google,wordfreq	417	683	
470	mag	0.775694	google,wordfreq	473	583	
471	sim	0.776055	google,wordfreq	501	533	
472	mhz	0.776687	google,wordfreq	367	781	
473	wax	0.777318	google,wordfreq	581	391	
474	nat	0.778445	google,wordfreq	526	496	
475	une	0.778986	google,wordfreq	520	509	
476	shy	0.782955	wordfreq,coca		289	216
477	ana	0.783045	google,wordfreq	586	403	
478	dir	0.783856	google,wordfreq	394	758	
479	pac	0.785119	google,wordfreq	576	429	
480	dip	0.787870	google,wordfreq	617	364	
481	gig	0.790034	google,wordfreq	605	394	
482	cad	0.790170	google,wordfreq	392	785	
483	abu	0.791117	google,wordfreq	641	332	
484	sap	0.791342	google,wordfreq	510	573	
485	pci	0.792063	google,wordfreq	332	902	
486	hay	0.792109	google,wordfreq	631	354	
487	pos	0.792109	google,wordfreq	445	695	
488	org	0.792605	google,wordfreq	326	915	
489	nbc	0.792965	google,wordfreq	618	381	
490	aus	0.793056	google,wordfreq	538	528	
491	gnu	0.793056	google,wordfreq	250	1056	
492	dis	0.793236	google,wordfreq	534	536	
493	pas	0.793867	google,wordfreq	604	410	
494	geo	0.794679	google,wordfreq	496	611	
495	wal	0.795626	google,wordfreq	499	609	
496	una	0.795761	google,wordfreq	544	527	
497	ant	0.795942	google,wordfreq	594	436	
498	bon	0.796032	google,wordfreq	568	484	
499	mba	0.796077	google,wordfreq	471	662	
500	vip	0.796708	google,wordfreq	553	514	
501	dom	0.796934	google,wordfreq	572	480	
502	jaw	0.798106	wordfreq,coca		378	210
503	zen	0.798151	google,wordfreq	533	556	
504	ego	0.799865	wordfreq,coca		335	219
505	kai	0.799955	google,wordfreq	571	493	
506	lou	0.802345	google,wordfreq	644	368	
507	eds	0.802525	google,wordfreq	580	486	
508	rna	0.804419	google,wordfreq	502	636	
509	diy	0.804780	google,wordfreq	494	652	
510	nam	0.805952	google,wordfreq	540	572	
511	tar	0.806584	google,wordfreq	556	545	
512	irs	0.807801	google,wordfreq	583	500	
513	ser	0.810462	google,wordfreq	536	596	
514	vid	0.811138	google,wordfreq	425	802	
515	liz	0.811860	google,wordfreq	607	471	
516	ada	0.812762	google,wordfreq	545	588	
517	cgi	0.813212	google,wordfreq	463	740	
518	gem	0.814069	google,wordfreq	600	492	
519	jpg	0.815197	google,wordfreq	407	850	
520	mtv	0.816234	google,wordfreq	642	423	
521	dee	0.817632	google,wordfreq	647	419	
522	ghz	0.818128	google,wordfreq	396	881	
523	rec	0.818579	google,wordfreq	476	736	
524	ist	0.819030	google,wordfreq	448	789	
525	ent	0.819526	google,wordfreq	383	910	
526	lid	0.819661	google,wordfreq	626	465	
527	wit	0.820247	google,wordfreq	667	392	
528	std	0.821465	google,wordfreq	424	842	
529	oem	0.822457	google,wordfreq	414	864	
530	cms	0.823855	google,wordfreq	443	816	
531	apt	0.824035	google,wordfreq	595	538	
532	fin	0.824576	google,wordfreq	613	507	
533	mil	0.826515	google,wordfreq	588	560	
534	pts	0.826921	google,wordfreq	513	699	
535	tcp	0.826921	google,wordfreq	393	919	
536	mia	0.828003	google,wordfreq	657	439	
537	ons	0.828319	google,wordfreq	488	750	
538	sen	0.828635	google,wordfreq	661	434	
539	fcc	0.830168	google,wordfreq	579	590	
540	mel	0.831340	google,wordfreq	649	466	
541	yen	0.832693	google,wordfreq	625	515	
542	dat	0.833640	google,wordfreq	664	447	
543	mic	0.835263	google,wordfreq	634	508	
544	ira	0.835985	google,wordfreq	660	463	
545	ftp	0.836751	google,wordfreq	295	1135	
546	mas	0.836842	google,wordfreq	569	633	
547	uni	0.838285	google,wordfreq	615	554	
548	isp	0.839096	google,wordfreq	405	942	
549	rug	0.840043	google,wordfreq	558	665	
550	phi	0.841306	google,wordfreq	482	809	
551	tex	0.842523	google,wordfreq	521	742	
552	wan	0.845815	google,wordfreq	658	503	
553	mmm	0.846672	wordfreq,coca		541	213
554	biz	0.848386	google,wordfreq	301	1167	
555	rpg	0.849017	google,wordfreq	491	821	
556	cue	0.851136	wordfreq,coca		497	224
557	dns	0.851993	google,wordfreq	455	898	
558	nec	0.853075	google,wordfreq	347	1100	
559	isa	0.856999	google,wordfreq	632	592	
560	ooo	0.857404	google,wordfreq	515	808	
561	sip	0.859073	google,wordfreq	646	574	
562	cas	0.860786	google,wordfreq	620	628	
563	mai	0.863943	google,wordfreq	640	603	
564	ict	0.866243	google,wordfreq	511	848	
565	asp	0.867145	google,wordfreq	305	1229	
566	sic	0.867280	google,wordfreq	650	597	
567	mae	0.867641	google,wordfreq	648	602	
568	dim	0.868317	google,wordfreq	639	621	
569	pod	0.870752	google,wordfreq	663	586	
